dataset,method_x,latent_dim,split,epochs_x,batch_size_x,learning_rate_x,pca_parameter_count,compression_ratio,pca_mse,pca_rmse,pca_mae,pca_psnr,pca_ssim,pca_mse_255,pca_rmse_255,pca_mae_255,notes_x,method_y,epochs_y,batch_size_y,learning_rate_y,ae_parameter_count,ae_mse,ae_rmse,mae,ae_psnr,ae_ssim,ae_mse_255,ae_rmse_255,mae_255,notes_y,ae_minus_pca_psnr,ae_minus_pca_ssim,ae_minus_pca_mse,parameter_ratio_ae_to_pca,psnr_winner,ssim_winner,mse_winner
fashion,pca,2,standard_train_test,0,256,0.0,2352,392.0,0.0456446595489978,0.2136461081999807,0.1458193808794021,13.4061002785755,0.6896084845542908,2968.043987173587,54.47975759099509,37.18394212424755,Full-split PCA benchmark produced by comparison/run_unified_benchmark.py.,ae,10,256,0.001,469010,0.0281179391779005,0.16768404568682288,,15.510165128294366,0.8159257009625435,1828.36899504298,42.75943165013983,,Committed AE result regenerated from the project autoencoder script.,2.104064849718865,0.12631721640825266,-0.0175267203710973,199.40901360544217,ae,ae,ae
fashion,pca,8,standard_train_test,0,256,0.0,7056,98.0,0.0259506218135356,0.1610919669429102,0.099627137184143,15.85852231381924,0.8239688725471497,1687.4391834251585,41.07845157044211,25.40491998195648,Full-split PCA benchmark produced by comparison/run_unified_benchmark.py.,ae,10,256,0.001,470552,0.015700127207674,0.12530014847426957,,18.04096828777575,0.8926991775631905,1020.9007716790019,31.95153786093874,,Committed AE result regenerated from the project autoencoder script.,2.1824459739565114,0.06873030501604083,-0.0102504946058616,66.68820861678005,ae,ae,ae
fashion,pca,16,standard_train_test,0,256,0.0,13328,49.0,0.0198221635073423,0.1407912053622041,0.0849924013018608,17.02848945813318,0.8657753810882568,1288.9361820649356,35.90175736736205,21.673062331974503,Full-split PCA benchmark produced by comparison/run_unified_benchmark.py.,ae,10,256,0.001,472608,0.014469595788978,0.12028963292394736,,18.3954360081381,0.9004346325993537,940.8854661782945,30.673856395606578,,Committed AE result regenerated from the project autoencoder script.,1.3669465500049185,0.034659251511096945,-0.005352567718364301,35.459783913565424,ae,ae,ae
fashion,pca,32,standard_train_test,0,256,0.0,25872,24.5,0.0144949462264776,0.1203949593067651,0.070919819176197,18.387833914567835,0.9026230260849,942.5338783767074,30.7007146232251,18.08455388993025,Full-split PCA benchmark produced by comparison/run_unified_benchmark.py.,ae,10,256,0.001,476720,0.0140451479237526,0.11851222689559335,,18.52473682440956,0.9031032726168632,913.2857437420128,30.220617858376304,,Committed AE result regenerated from the project autoencoder script.,0.13690290984172293,0.0004802465319632132,-0.00044979830272500083,18.426097711811998,ae,ae,ae
fashion,pca,64,standard_train_test,0,256,0.0,50960,12.25,0.009839741513133,0.0991954712329804,0.0563130341470241,20.07016310196144,0.9347495393753052,639.8291918914765,25.29484516441001,14.35982370749116,Full-split PCA benchmark produced by comparison/run_unified_benchmark.py.,ae,10,256,0.001,484944,0.01387355113402,0.11778603963976376,,18.578123608074904,0.9040853083133698,902.1276624896504,30.03544010813976,,Committed AE result regenerated from the project autoencoder script.,-1.4920394938865371,-0.0306642310619355,0.004033809620886999,9.516169544740974,pca,pca,pca
mnist,pca,2,standard_train_test,0,256,0.0,2352,392.0,0.0554737411439418,0.2355286418759762,0.1286141872406005,12.559125443540475,0.569627663898468,3607.1800178848207,60.05980367837395,32.79661774635315,Full-split PCA benchmark produced by comparison/run_unified_benchmark.py.,ae,10,256,0.001,469010,0.0405180524103343,0.20129096455214848,,13.923514381333948,0.7146218657493592,2634.686357981988,51.32919596079786,,Committed AE result regenerated from the project autoencoder script.,1.364388937793473,0.14499420185089118,-0.014955688733607503,199.40901360544217,ae,ae,ae
mnist,pca,8,standard_train_test,0,256,0.0,7056,98.0,0.0364116951823234,0.1908184875276068,0.0968160405755043,14.38759101588133,0.7339834199905395,2367.6704792305827,48.65871431953975,24.688090346753597,Full-split PCA benchmark produced by comparison/run_unified_benchmark.py.,ae,10,256,0.001,470552,0.0198243564460426,0.14079899305763022,,17.028009021929048,0.8754331544041634,1289.0787779039201,35.903743229695706,,Committed AE result regenerated from the project autoencoder script.,2.6404180060477174,0.14144973441362385,-0.0165873387362808,66.68820861678005,ae,ae,ae
mnist,pca,16,standard_train_test,0,256,0.0,13328,49.0,0.0253797750920057,0.159310310689565,0.077030710875988,15.955122308123793,0.8234838405609131,1650.3198753576726,40.62412922583908,19.64283127337694,Full-split PCA benchmark produced by comparison/run_unified_benchmark.py.,ae,10,256,0.001,472608,0.0133151833200827,0.11539143521112258,,18.756528499270836,0.9189563438296318,865.8197953883775,29.424815978836257,,Committed AE result regenerated from the project autoencoder script.,2.801406191147043,0.0954725032687187,-0.012064591771922999,35.459783913565424,ae,ae,ae
mnist,pca,32,standard_train_test,0,256,0.0,25872,24.5,0.015206990763545,0.1233166280902337,0.0568861439824104,18.179567178395786,0.8971659523010254,988.834574399516,31.445740163009617,14.50596671551466,Full-split PCA benchmark produced by comparison/run_unified_benchmark.py.,ae,10,256,0.001,476720,0.0113983595976606,0.1067631003561652,,19.43157645939463,0.9321262896060944,741.1783328378805,27.224590590822125,,Committed AE result regenerated from the project autoencoder script.,1.2520092809988448,0.03496033730506909,-0.0038086311658844,18.426097711811998,ae,ae,ae
mnist,pca,64,standard_train_test,0,256,0.0,50960,12.25,0.0077528585679829,0.0880503183866072,0.0388446599245071,21.105381386030245,0.9485821368217467,504.12962838308886,22.452831188584856,9.90538828074932,Full-split PCA benchmark produced by comparison/run_unified_benchmark.py.,ae,10,256,0.001,484944,0.0114965587854385,0.10722200700154097,,19.39432135658903,0.931069801747799,747.5637350231384,27.341611785392946,,Committed AE result regenerated from the project autoencoder script.,-1.7110600294412173,-0.017512335073947782,0.0037437002174555995,9.516169544740974,pca,pca,pca
