dataset,method,latent_dim,train_limit,test_limit,epochs,batch_size,learning_rate,parameter_count,compression_ratio,device,train_seconds,explained_variance_ratio,mse,rmse,mae,psnr,ssim,mse_255,rmse_255,mae_255
fashion,vae,32,10000,2000,5,256,0.001,667248,24.5,mps,4.9431526660046075,,0.029331665486097336,0.17126489858140032,0.10648399591445923,15.32663276573279,0.8186281728744507,1907.2915482334793,43.67254913825708,27.153418958187103
fashion,ae,64,10000,2000,5,256,0.001,484944,12.25,mps,4.896124291997694,,0.03049737960100174,0.17463498962407775,0.10366605222225189,15.157374745454986,0.7905069813728333,1983.092108555138,44.53192235413983,26.434843316674232
fashion,dae,64,10000,2000,5,256,0.001,484944,12.25,mps,5.498406041995622,,0.03578054904937744,0.18915747156635776,0.11523683369159698,14.463529995068958,0.7831794257164002,2326.630201935768,48.235155249421226,29.38539259135723
fashion,pca,64,10000,2000,0,256,0.0,50960,12.25,mps,0.7463270829975954,0.8815028667449951,0.00997493788599968,0.09987461081776329,0.05684381350874901,20.01089799987237,0.9338486866950989,648.6203360371292,25.468025758529638,14.495172444730997
fashion,vae,64,10000,2000,5,256,0.001,705712,12.25,mps,4.954717500004335,,0.03318324685096741,0.1821626933567008,0.1135038435459137,14.790811222154982,0.8064994735717773,2157.7406264841557,46.4514868059587,28.943480104207993
mnist,ae,8,10000,2000,5,256,0.001,470552,98.0,mps,7.983311500000127,,0.04464718699455261,0.2112988097329292,0.10558010637760162,13.50205898729039,0.6759871225357056,2903.1833343207836,53.88119648189694,26.922927126288414
mnist,dae,8,10000,2000,5,256,0.001,470552,98.0,mps,3.9701002079964383,,,,,,,,,
mnist,pca,8,10000,2000,0,256,0.0,7056,98.0,mps,0.47020145800343016,0.43877148628234863,0.03695911541581154,0.19224753682638313,0.09778129309415817,14.32278431787136,0.7318186330795288,2403.2664799131453,49.023121890727694,24.934229739010334
mnist,vae,8,10000,2000,5,256,0.001,638400,98.0,mps,5.788730457999918,,0.03435581177473068,0.18535320815872242,0.08967026323080063,14.639997852944902,0.7564755325317383,2233.9866606518626,47.265068080474215,22.86591712385416
mnist,ae,16,10000,2000,5,256,0.001,472608,49.0,mps,4.283479375000752,,0.04476132616400719,0.21156872681000655,0.10434118658304214,13.490970549145,0.672806058883667,2910.6052338145673,53.95002533655167,26.607002578675747
mnist,dae,16,10000,2000,5,256,0.001,472608,49.0,mps,4.015369125001598,,,,,,,,,
mnist,pca,16,10000,2000,0,256,0.0,13328,49.0,mps,0.4985552079961053,0.5956793427467346,0.02582539990544319,0.16070283104364774,0.07783596217632294,15.87952944720924,0.8212654557228088,1679.2966288514435,40.97922191613017,19.84817035496235
mnist,vae,16,10000,2000,5,256,0.001,648016,49.0,mps,4.178987708000932,,0.03281806409358978,0.18115756703375596,0.08781957626342773,14.838870411460753,0.7701655445098877,2133.9946176856756,46.19517959360777,22.393991947174072
mnist,ae,32,10000,2000,5,256,0.001,476720,24.5,mps,4.15448766600457,,0.04359884560108185,0.20880336587584467,0.10067877173423767,13.60525009715756,0.6904572920799256,2835.014935210347,53.24485829834039,25.673086792230606
mnist,dae,32,10000,2000,5,256,0.001,476720,24.5,mps,4.264399915999093,,0.06889098137617111,0.26247091529571637,0.1671428382396698,11.61837628526702,0.5153661241531372,4479.636063985527,66.93008340040767,42.6214237511158
mnist,pca,32,10000,2000,0,256,0.0,25872,24.5,mps,0.5296812090018648,0.7450097799301147,0.015584729611873627,0.12483881452446441,0.05776936560869217,18.073007281378576,0.8953856415748597,1013.3970430120826,31.833897703738423,14.731188230216503
mnist,vae,32,10000,2000,5,256,0.001,667248,24.5,mps,4.3179069999969215,,0.03303981572389603,0.18176857738315505,0.09058131277561188,14.809623835767848,0.7716442103385925,2148.414017446339,46.35098723270454,23.09823475778103
mnist,ae,64,10000,2000,5,256,0.001,484944,12.25,mps,4.3827562920050696,,0.049691714346408844,0.22291638420360413,0.11155080795288086,13.037160199913911,0.6193432598114014,3231.203725375235,56.84367797191905,28.44545602798462
mnist,dae,64,10000,2000,5,256,0.001,484944,12.25,mps,4.44816400000127,,0.07018718868494034,0.26492864829032803,0.178797647356987,11.537421527020344,0.4753536639213562,4563.9219442382455,67.55680531403365,45.593400076031685
mnist,pca,64,10000,2000,0,256,0.0,50960,12.25,mps,0.6327038340023137,0.8632842898368835,0.007957132533192635,0.08920276079355748,0.039488449692726135,20.99243408313825,0.9476214218139648,517.4125429708511,22.746704002357156,10.069554671645164
mnist,vae,64,10000,2000,5,256,0.001,705712,12.25,mps,4.657244417001493,,,,,,,,,
