n_components,mse,rmse,mae,psnr,explained_variance_ratio
16,1691.059326171875,41.122491731069445,19.868806838989258,15.849215169738201,0.5976517796516418
32,1021.5997314453125,31.96247380046345,14.77155590057373,18.03799590778403,0.7464404106140137
64,522.7321166992188,22.863335642447687,10.116358757019043,20.94801176865907,0.8643564581871033
128,228.20762634277344,15.106542501273196,6.433022975921631,24.54750207099296,0.9375853538513184
